revision_label,revision_date,revision_set,source_pdf,index_page_index,row_number,sheet_number,sheet_name,x_position
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,71,AE108.2,4TH FLOOR ENLARGED DIMENSION PLANS,"912.1,1633.1"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,72,AE109,5TH FLOOR PLAN - BUILDOUT,"912.1,1650.3"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,73,AE109.1,5TH FLOOR DIMENSION PLAN,"912.1,1667.6"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,74,AE110,ATTIC FLOOR PLAN - BUILDOUT,"912.1,1684.9"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,77,AE113,5TH FLOOR & ATTIC REFLECTED CEILING PLAN,"912.1,1736.6"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,78,AE121,ENLARGED FLOOR PLANS,"1761.5,1753.9"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,79,AE122,ENLARGED FLOOR PLANS,"912.1,1771.1"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,80,AE123,ENLARGED FLOOR PLANS,"912.1,1788.3"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,82,AE125,ENLARGED FLOOR PLANS,"912.1,1822.9"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,86,AE203,EXTERIOR ELEVATIONS,"2608.9,356.5"
